date,open,high,low,close,volume
2026-03-03,20740,21725,20000,20000,94352864
2026-03-04,19490,19775,17055,17060,126065387
2026-03-05,18540,20840,18455,19575,132506974
2026-03-06,19710,20690,19345,20530,63808231
2026-03-09,19400,19945,19075,19810,68786254
2026-03-10,20870,20890,19890,20080,58479592
2026-03-11,20400,20515,19475,19680,45619166
2026-03-12,19515,19925,19405,19775,27674765
2026-03-13,19300,20060,19270,19925,26320433
2026-03-16,19920,20065,19350,19640,26176989
2026-03-17,19975,20165,19640,19650,22044620
2026-03-18,20000,20265,19915,20205,26315549
2026-03-19,19700,20015,19675,19785,23756975
2026-03-20,20005,20255,19820,20090,23997305
2026-03-23,19480,19535,18885,19010,39308068
2026-03-24,19665,19690,19010,19410,29561918
2026-03-25,19790,20190,19720,20100,25719443
2026-03-26,20310,20460,19660,19750,34551658
2026-03-27,19350,19895,19050,19830,24277306
2026-03-30,19040,19355,18975,19220,22890014
2026-03-31,19015,19100,18005,18155,39006376
2026-04-01,18875,19440,18780,19220,38387187
2026-04-02,19490,19510,17685,18060,43432763
2026-04-03,18415,18500,17890,18080,25027645
2026-04-06,18115,18430,17810,17815,19905707
2026-04-07,17935,18385,17590,17745,17120815
2026-04-08,18700,18860,18445,18710,21104847
2026-04-09,18710,18770,18245,18415,22855036
2026-04-10,18665,18700,18460,18575,16465847
2026-04-13,18225,18610,18175,18540,17655272
2026-04-14,18930,18950,18655,18725,14424299
2026-04-15,19050,19495,18970,19415,22543806
2026-04-16,19655,19690,19450,19550,18607468
2026-04-17,19650,19650,19375,19550,15715877
2026-04-20,19590,19965,19400,19700,22115229
2026-04-21,19940,19950,19760,19900,18397769
2026-04-22,19955,19965,19440,19870,23795291
2026-04-23,20050,20050,19320,19715,25935928
2026-04-24,19745,20300,19625,20295,24635163
2026-04-27,20455,20790,20350,20670,34160332
2026-04-28,20590,20640,20250,20415,31211405
2026-04-29,20360,20590,20210,20490,19942843
2026-04-30,20485,20500,19800,19855,25146380
2026-05-04,20125,20390,20105,20175,15015109
2026-05-06,20365,20380,19920,20235,30057142
2026-05-07,20300,20585,20040,20050,26398107
2026-05-08,20080,20310,19912,20125,20196036
2026-05-11,20170,20210,19760,20060,32926711
2026-05-12,20130,20510,18920,19535,42413995
2026-05-13,19580,19720,19065,19540,31723573
2026-05-14,19755,19910,19320,19910,24338728
2026-05-15,20045,20050,18445,18975,35700684
2026-05-18,18775,18805,17865,18490,33700934
2026-05-19,18640,19000,17765,18140,23801739
2026-05-20,18020,18075,17335,17590,32976105
2026-05-21,18055,18870,18025,18595,21171171
2026-05-22,18985,20095,18900,19780,33925088
2026-05-26,20400,20800,19960,19995,31011970
